"ID","WH","Location","Description","Entry_By","Entry_On","ZONE","LOCLEVEL","STLOCATION","SLOC","LOCATIONTYPE","ZONEBARCODE","AISLES","CUSTID","PRIORITYLOCATION","LOCATIONSTATUS","CCSTATUS","AISLESBARCODE","LOCATIONBARCODE"
99,MAA,F74,OK Stock Location,Rajini Nagaiah,2020-05-01,abc,,,,,abc,R1-R2,HLL01,,,,,
100,MAA,F75,OK Stock Location,Rajini Nagaiah,2020-05-01,abc,,,,,abc,R1-R2,HLL01,,,,,
101,MAA,F76,OK Stock Location,Rajini Nagaiah,2020-05-01,abc,,,,,abc,R1-R2,HLL01,,,,,
102,MAA,F77,OK Stock Location,Rajini Nagaiah,2020-05-01,abc,,,,,abc,R1-R2,HLL01,,,,,
103,MAA,F78,OK Stock Location,Rajini Nagaiah,2020-05-01,abc,,,,,abc,R1-R2,HLL01,,,,,
104,MAA,F79,OK Stock Location,Rajini Nagaiah,2020-05-01,abc,,,,,abc,R1-R2,HLL01,,,,,
105,MAA,F80,OK Stock Location,Rajini Nagaiah,2020-05-01,abc,,,,,abc,R1-R2,HLL01,,,,,
106,MAA,F81,OK Stock Location,Rajini Nagaiah,2020-05-01,abc,,,,,abc,R1-R2,HLL01,,,,,
107,MAA,F82,OK Stock Location,Rajini Nagaiah,2020-05-01,abc,,,,,abc,R1-R2,HLL01,,,,,
108,MAA,F83,OK Stock Location,Rajini Nagaiah,2020-05-01,abc,,,,,abc,R1-R2,HLL01,,,,,
109,GGNWH1,FLOOR-1,"",PARDEEP,2020-05-01,,,,,,,,HLL01,,,,,
151,AWLKOL,AB-R4,"",SANJAY MAICK,2020-05-02,,,,,,,,HLL01,,,,,
192,MAA,F137,OK Stock Location,Rajini Nagaiah,2020-05-03,B01000000000000000000002,,,,,B01000000000000000000002,R2-R3,HLL01,,,,A1000000000000000000001,
193,MAA,F138,OK Stock Location,Rajini Nagaiah,2020-05-03,B01000000000000000000002,,,,,B01000000000000000000002,R2-R3,HLL01,,,,A1000000000000000000001,
194,MAA,F139,OK Stock Location,Rajini Nagaiah,2020-05-03,B01000000000000000000002,,,,,B01000000000000000000002,R2-R3,HLL01,,,,A1000000000000000000001,
195,MAA,F140,OK Stock Location,Rajini Nagaiah,2020-05-03,B01000000000000000000002,,,,,B01000000000000000000002,R2-R3,HLL01,,,,A1000000000000000000001,
196,MAA,F141,OK Stock Location,Rajini Nagaiah,2020-05-03,B01000000000000000000002,,,,,B01000000000000000000002,R2-R3,HLL01,,,,A1000000000000000000001,
197,MAA,F142,OK Stock Location,Rajini Nagaiah,2020-05-03,B01000000000000000000002,,,,,B01000000000000000000002,R2-R3,HLL01,,,,A1000000000000000000001,
198,MAA,F143,OK Stock Location,Rajini Nagaiah,2020-05-03,B01000000000000000000002,,,,,B01000000000000000000002,R2-R3,HLL01,,,,A1000000000000000000001,
199,MAA,F144,OK Stock Location,Rajini Nagaiah,2020-05-03,B01000000000000000000002,,,,,B01000000000000000000002,R2-R3,HLL01,,,,A1000000000000000000001,
200,MAA,F145,OK Stock Location,Rajini Nagaiah,2020-05-03,B01000000000000000000002,,,,,B01000000000000000000002,R2-R3,HLL01,,,,A1000000000000000000001,
201,MAA,F146,OK Stock Location,Rajini Nagaiah,2020-05-03,B01000000000000000000002,,,,,B01000000000000000000002,R2-R3,HLL01,,,,A1000000000000000000001,
